Buyer_ID,Age,Gender,Annual_Income_USD,City_Type,Daily_Commute_km,Number_of_Cars_Owned,Current_Car_Type,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Home_Charging_Possible,Environmental_Concern_Level,Subsidy_Available,Range_Anxiety_Level,Will_Buy_EV
EV00032,34,Male,87624.0,Urban,16.7,2,Sedan,8,12,No,3.0,Yes,Low,Yes
EV00033,33,Male,90104.0,Rural,58.5,2,SUV,0,0,Yes,5.0,No,Low,No
EV00034,61,Male,116015.0,Urban,5.0,2,SUV,2,10,No,,Yes,Low,No
EV00035,44,Female,128080.0,Suburban,21.7,2,Sedan,7,4,Yes,2.0,No,Low,No
EV00036,60,Male,,Urban,33.1,4,SUV,6,12,No,4.0,No,Medium,No
EV00037,53,Female,105536.0,Urban,37.1,2,Hatchback,10,12,Yes,5.0,No,Low,No
EV00038,32,Male,83198.0,Suburban,45.1,1,SUV,6,9,Yes,2.0,No,Low,No
EV00039,35,Female,137112.0,Urban,22.0,2,SUV,7,18,No,2.0,No,Low,No
EV00040,64,Male,36128.0,Urban,64.7,1,Hatchback,12,14,Yes,3.0,Yes,Low,No
EV00041,63,Male,88159.0,Urban,8.3,2,Hatchback,10,11,No,2.0,Yes,Low,Yes
EV00042,34,Male,74022.0,Suburban,11.9,2,Hatchback,5,4,Yes,3.0,No,Low,No
EV00043,43,Male,86147.0,Rural,5.0,2,Hatchback,1,0,Yes,5.0,No,Low,No
EV00044,32,Male,42679.0,Urban,19.4,1,SUV,9,8,No,1.0,Yes,Low,No
EV00045,64,Male,45307.0,Suburban,60.5,2,SUV,7,2,No,1.0,Yes,Medium,No
EV00046,40,Male,88503.0,Urban,5.0,1,SUV,11,8,No,2.0,Yes,Low,No
EV00047,69,Male,45787.0,Urban,45.8,2,Sedan,7,9,No,3.0,No,Medium,No
EV00048,25,Male,30000.0,Suburban,59.2,1,SUV,0,1,Yes,5.0,Yes,Low,No
EV00049,67,Male,54878.0,Urban,38.9,2,Sedan,9,9,Yes,3.0,Yes,Low,No
EV00050,37,Male,51068.0,Suburban,42.1,2,SUV,6,6,Yes,3.0,No,Low,No
EV00051,42,Male,124042.0,Suburban,46.7,2,Hatchback,2,3,Yes,5.0,Yes,Low,Yes
EV00052,36,Male,54580.0,Suburban,60.5,1,SUV,2,9,Yes,4.0,No,Low,No
EV00053,40,Male,39063.0,Urban,5.0,2,Sedan,14,7,Yes,3.0,Yes,Low,No
EV00054,58,Male,68155.0,Suburban,24.4,2,Sedan,1,4,No,2.0,Yes,Medium,No
EV00055,54,Female,30000.0,Urban,35.3,2,Sedan,2,8,Yes,3.0,No,Low,No
EV00056,49,Female,47733.0,Urban,50.1,1,Truck,2,6,Yes,2.0,Yes,Low,No
EV00057,61,Female,56454.0,Urban,78.9,1,Hatchback,9,18,No,1.0,Yes,Low,No
EV00058,44,Other,118688.0,Urban,81.1,1,Sedan,13,9,Yes,2.0,Yes,Low,No
EV00059,60,Male,,Rural,32.9,2,Hatchback,0,0,Yes,5.0,Yes,Low,Yes
EV00060,55,Female,101814.0,Urban,5.0,2,Sedan,8,8,No,2.0,Yes,Medium,No
EV00061,35,Male,116042.0,Suburban,58.9,1,SUV,2,6,Yes,2.0,No,Low,No
EV00062,64,Female,63647.0,Urban,40.6,1,Sedan,14,9,No,1.0,No,Low,No
EV00063,45,Male,92502.0,Urban,49.3,1,Sedan,13,19,No,5.0,Yes,Low,No
EV00064,52,Male,99320.0,Suburban,,2,SUV,3,9,No,1.0,No,Low,No
EV00065,33,Male,34931.0,Urban,51.8,1,Hatchback,2,13,No,,Yes,Medium,No
EV00066,47,Male,41847.0,Urban,49.4,3,Hatchback,7,9,Yes,5.0,Yes,Low,No
EV00067,51,Female,91292.0,Urban,71.4,2,Sedan,6,5,No,1.0,Yes,Low,No
EV00068,48,Male,63912.0,Urban,29.2,1,Hatchback,5,16,No,2.0,Yes,Low,No
EV00069,62,Female,46223.0,Suburban,44.3,2,Sedan,3,7,Yes,3.0,No,Low,No
EV00070,47,Female,102868.0,Suburban,52.2,1,Sedan,7,2,Yes,4.0,Yes,Low,Yes
EV00071,34,Female,,Suburban,69.6,2,SUV,4,2,Yes,3.0,Yes,Low,Yes
EV00072,27,Female,77759.0,Rural,13.0,2,Hatchback,1,1,Yes,5.0,Yes,Low,Yes
EV00073,43,Female,137568.0,Rural,15.2,1,Sedan,0,1,Yes,2.0,No,Low,No
EV00074,53,Female,68713.0,Urban,50.9,2,Sedan,10,11,Yes,4.0,Yes,Low,Yes
EV00075,36,Female,97685.0,Urban,26.4,1,Sedan,6,4,Yes,3.0,No,Low,No
EV00076,35,Female,52349.0,Suburban,74.5,1,Hatchback,6,5,No,4.0,No,Medium,No
EV00077,55,Male,90350.0,Suburban,64.2,2,SUV,0,5,No,4.0,Yes,High,No
EV00078,60,Male,71949.0,Suburban,25.1,1,SUV,5,4,Yes,1.0,No,Low,No
EV00079,53,Male,143044.0,Urban,27.3,2,Sedan,5,13,Yes,4.0,Yes,Low,Yes
EV00080,28,Male,75226.0,Suburban,69.5,2,SUV,7,6,No,4.0,Yes,Medium,No
EV00081,44,Male,30000.0,Urban,36.2,1,SUV,13,16,Yes,3.0,Yes,Low,No
EV00082,45,Female,81991.0,Urban,19.5,2,SUV,3,9,No,3.0,No,Medium,No
EV00083,39,Male,30000.0,Urban,31.0,1,SUV,13,15,No,3.0,Yes,Medium,No
EV00084,30,Female,30000.0,Urban,26.4,3,SUV,9,8,Yes,1.0,No,Low,No
EV00085,30,Female,88411.0,Rural,41.5,3,Sedan,0,3,Yes,4.0,Yes,Low,No
EV00086,31,Female,82374.0,Urban,81.2,2,Sedan,8,14,No,,No,Low,No
EV00087,49,Male,135989.0,Suburban,5.0,2,Truck,3,2,No,3.0,Yes,Low,Yes
EV00088,64,Male,80731.0,Urban,72.7,1,SUV,9,10,Yes,1.0,No,Low,No
EV00089,62,Female,30000.0,Suburban,43.9,2,Sedan,5,9,Yes,3.0,Yes,Low,No
EV00090,32,Male,119804.0,Suburban,80.9,2,Hatchback,6,7,Yes,4.0,Yes,Low,Yes
EV00091,62,Female,147235.0,Urban,43.2,1,Sedan,11,16,Yes,1.0,Yes,Low,No
EV00092,29,Male,95129.0,Suburban,5.0,2,Hatchback,1,9,Yes,1.0,Yes,Low,No
EV00093,48,Female,161488.0,Urban,33.4,3,Sedan,13,14,No,2.0,No,Low,No
EV00094,60,Male,72262.0,Urban,40.9,2,SUV,8,11,No,1.0,Yes,Medium,No
EV00095,40,Female,68909.0,Urban,44.3,2,Sedan,11,4,No,4.0,Yes,Low,Yes
EV00096,59,Male,73458.0,Suburban,28.2,1,Hatchback,3,5,Yes,2.0,Yes,Low,No
EV00097,28,Male,96810.0,Urban,40.6,2,Sedan,5,12,Yes,1.0,No,Low,No
EV00098,43,Male,109349.0,Suburban,5.0,2,Hatchback,5,1,Yes,3.0,Yes,Low,No
EV00099,38,Female,98035.0,Urban,78.0,2,Sedan,7,5,No,1.0,No,Medium,No
EV00100,28,Male,57048.0,Suburban,,2,Sedan,0,5,Yes,2.0,Yes,Low,No
EV00101,62,Male,73961.0,Rural,44.2,1,Sedan,0,3,Yes,1.0,Yes,Low,No
EV00102,54,Male,66570.0,Suburban,50.6,1,SUV,7,6,Yes,1.0,Yes,Low,No
EV00103,47,Female,78293.0,Urban,39.3,1,Truck,10,8,No,4.0,Yes,High,No
EV00104,46,Male,114842.0,Urban,30.0,1,SUV,2,3,No,4.0,No,Low,Yes
EV00105,46,Male,172772.0,Suburban,50.4,2,SUV,6,9,Yes,3.0,Yes,Low,Yes
EV00106,42,Male,92251.0,Urban,61.1,1,Sedan,9,16,No,5.0,Yes,Low,Yes
EV00107,48,Female,70475.0,Rural,60.9,1,SUV,1,2,No,1.0,Yes,Medium,No
EV00108,68,Male,75946.0,Rural,31.6,2,SUV,1,0,Yes,4.0,No,Low,No
EV00109,55,Male,134063.0,Urban,48.5,2,Sedan,4,12,Yes,5.0,Yes,Low,Yes
EV00110,61,Male,100474.0,Suburban,67.2,1,Sedan,6,5,Yes,4.0,Yes,Low,Yes
EV00111,32,Female,30000.0,Rural,5.0,2,Sedan,1,0,Yes,3.0,Yes,Low,Yes
EV00112,45,Female,90029.0,Suburban,53.5,2,Sedan,4,5,Yes,2.0,No,Low,No
EV00113,52,Female,100447.0,Suburban,86.0,1,Sedan,1,1,Yes,3.0,No,Low,No
EV00114,36,Female,59901.0,Urban,102.8,3,Sedan,2,18,No,3.0,Yes,Medium,No
EV00115,30,Female,32083.0,Urban,19.4,1,SUV,13,19,No,4.0,Yes,Low,No
EV00116,47,Female,132386.0,Urban,39.4,2,SUV,4,4,No,2.0,No,Medium,No
EV00117,50,Male,68380.0,Rural,5.0,1,Hatchback,0,2,Yes,4.0,Yes,Low,No
EV00118,43,Male,64417.0,Urban,5.4,1,Sedan,6,14,No,5.0,No,Low,No
EV00119,38,Male,45138.0,Suburban,55.3,1,SUV,4,8,Yes,1.0,No,Low,No
EV00120,63,Female,30033.0,Urban,6.5,4,SUV,4,12,No,2.0,No,Low,No
EV00121,28,Female,80601.0,Suburban,62.5,1,Sedan,7,5,No,4.0,No,Medium,No
EV00122,39,Male,72949.0,Urban,17.4,2,SUV,13,4,Yes,4.0,Yes,Low,Yes
EV00123,48,Male,93316.0,Urban,34.5,1,Sedan,14,9,No,2.0,No,Low,No
EV00124,38,Male,30000.0,Rural,20.1,2,Truck,0,0,Yes,1.0,Yes,Low,No
EV00125,49,Female,89539.0,Suburban,32.1,2,Sedan,2,5,No,3.0,Yes,Low,No
EV00126,45,Female,95247.0,Urban,,2,Sedan,3,11,No,3.0,Yes,Medium,No
EV00127,25,Male,122872.0,Urban,72.1,1,SUV,13,17,Yes,5.0,No,Low,No
EV00128,54,Other,71212.0,Urban,54.3,2,Truck,10,12,No,5.0,Yes,Low,No
EV00129,36,Female,,Suburban,55.1,2,Sedan,1,9,Yes,2.0,No,Low,No
EV00130,65,Female,184032.0,Suburban,45.6,1,Sedan,2,3,No,3.0,No,Low,No
EV00131,52,Female,104538.0,Suburban,21.2,1,Truck,1,5,Yes,5.0,Yes,Low,Yes
EV00132,58,Female,67575.0,Urban,29.7,2,Sedan,3,13,No,3.0,Yes,Low,No
EV00133,49,Female,40878.0,Rural,5.0,1,Hatchback,2,0,Yes,3.0,Yes,Low,No
EV00134,61,Female,65775.0,Rural,26.9,2,Sedan,0,3,Yes,5.0,Yes,Low,Yes
EV00135,63,Male,53486.0,Suburban,5.0,2,Sedan,6,4,Yes,3.0,No,Low,No
EV00136,34,Male,133659.0,Urban,19.0,1,SUV,10,18,No,3.0,Yes,Low,No
EV00137,28,Male,72182.0,Suburban,21.7,1,Sedan,4,5,Yes,1.0,Yes,Low,No
EV00138,68,Male,105134.0,Rural,12.7,2,Sedan,2,2,Yes,2.0,No,Low,No
EV00139,26,Female,57160.0,Urban,94.0,2,Truck,14,5,No,,Yes,Low,No
EV00140,40,Male,124982.0,Urban,65.3,1,Hatchback,9,11,No,5.0,Yes,Low,Yes
EV00141,29,Male,90353.0,Urban,,1,Sedan,6,4,No,3.0,No,Medium,No
EV00142,29,Male,145914.0,Urban,32.7,1,Sedan,6,6,Yes,1.0,No,Low,No
EV00143,61,Male,,Suburban,35.2,2,Sedan,7,5,Yes,1.0,No,Low,No
EV00144,43,Female,30244.0,Urban,59.4,1,Sedan,11,14,Yes,2.0,Yes,Low,No
EV00145,39,Male,73940.0,Suburban,59.1,2,Sedan,7,8,Yes,1.0,Yes,Low,No
EV00146,53,Male,117729.0,Urban,71.7,4,SUV,13,13,Yes,5.0,No,Low,No
EV00147,42,Male,30000.0,Urban,64.5,3,Sedan,2,10,No,4.0,Yes,High,No
EV00148,48,Female,77008.0,Suburban,81.3,1,Hatchback,2,7,Yes,5.0,Yes,Low,Yes
EV00149,41,Male,,Urban,15.1,3,Truck,8,7,Yes,4.0,No,Low,No
EV00150,31,Male,44080.0,Rural,45.9,1,SUV,0,2,Yes,4.0,No,Low,No
EV00151,32,Male,72754.0,Suburban,57.4,1,Sedan,2,4,Yes,4.0,No,Low,No
EV00152,45,Male,110321.0,Urban,8.4,1,Sedan,13,18,No,4.0,Yes,Low,Yes
EV00153,35,Male,75822.0,Urban,73.4,2,Sedan,3,4,No,2.0,Yes,Low,No
EV00154,67,Female,126746.0,Rural,23.0,2,SUV,1,1,Yes,3.0,Yes,Low,Yes
EV00155,57,Male,54139.0,Urban,45.7,3,SUV,5,13,No,2.0,No,Medium,No
EV00156,68,Male,,Suburban,44.5,2,Hatchback,4,7,Yes,4.0,Yes,Low,Yes
EV00157,64,Male,79224.0,Suburban,38.6,2,Sedan,4,9,Yes,5.0,Yes,Low,No
EV00158,48,Female,35750.0,Suburban,31.7,2,Sedan,1,9,No,5.0,Yes,High,No
EV00159,47,Female,70350.0,Rural,5.0,1,Sedan,2,0,Yes,3.0,Yes,Low,No
EV00160,46,Male,124058.0,Suburban,41.6,1,SUV,5,6,Yes,2.0,Yes,Low,No
EV00161,51,Female,62144.0,Urban,5.0,1,Sedan,5,14,No,1.0,No,Low,No
EV00162,37,Male,63825.0,Suburban,,4,Sedan,4,2,Yes,5.0,Yes,Low,Yes
EV00163,27,Female,95207.0,Suburban,42.7,3,Sedan,4,2,Yes,4.0,No,Low,No
EV00164,65,Female,30000.0,Urban,39.3,2,Sedan,7,16,Yes,4.0,Yes,Low,No
EV00165,42,Female,123312.0,Urban,45.7,1,Hatchback,2,3,Yes,5.0,No,Low,No
EV00166,26,Male,65556.0,Suburban,14.0,1,SUV,3,9,Yes,5.0,No,Low,No
EV00167,50,Female,78252.0,Rural,44.7,1,Sedan,2,3,Yes,5.0,Yes,Low,Yes
EV00168,27,Male,30000.0,Suburban,37.6,1,SUV,2,2,Yes,5.0,Yes,Low,No
EV00169,41,Female,97763.0,Urban,67.3,2,Sedan,13,17,No,4.0,Yes,Low,No
EV00170,27,Male,96295.0,Urban,12.1,2,Sedan,3,18,Yes,2.0,No,Low,No
EV00171,49,Male,144762.0,Urban,27.5,1,Truck,2,6,Yes,3.0,No,Low,No
EV00172,40,Female,114869.0,Rural,63.3,1,SUV,0,2,Yes,1.0,Yes,Low,Yes
EV00173,54,Female,30000.0,Rural,27.3,3,Hatchback,1,2,Yes,3.0,No,Low,No
EV00174,31,Female,98373.0,Rural,32.7,1,Hatchback,2,3,Yes,,Yes,Low,Yes
EV00175,53,Male,92473.0,Suburban,29.8,1,Truck,6,3,No,1.0,Yes,Medium,No
EV00176,67,Male,116886.0,Suburban,69.1,2,SUV,4,6,Yes,2.0,No,Low,No
EV00177,47,Female,133640.0,Suburban,85.0,2,Sedan,7,1,Yes,1.0,Yes,Medium,No
EV00178,45,Male,47885.0,Urban,57.9,3,SUV,6,13,Yes,4.0,Yes,Low,Yes
EV00179,50,Female,35150.0,Rural,25.0,1,SUV,1,3,Yes,1.0,No,Low,No
EV00180,58,Female,92385.0,Suburban,70.1,3,Truck,0,5,Yes,5.0,Yes,Low,Yes
EV00181,32,Female,86258.0,Urban,55.1,2,Sedan,12,10,No,3.0,No,Medium,No
EV00182,33,Male,94589.0,Urban,17.3,1,Sedan,4,12,Yes,1.0,No,Low,No
EV00183,41,Female,112037.0,Suburban,7.0,2,Hatchback,6,3,Yes,4.0,Yes,Low,Yes
EV00184,54,Male,98396.0,Suburban,17.3,3,SUV,5,6,Yes,3.0,Yes,Low,Yes
EV00185,25,Male,51207.0,Suburban,40.8,1,Sedan,1,9,Yes,5.0,Yes,Low,Yes
EV00186,69,Female,108462.0,Urban,76.3,4,Sedan,8,3,No,2.0,Yes,Medium,No
EV00187,65,Male,40588.0,Urban,45.4,1,SUV,13,8,No,4.0,Yes,Medium,No
EV00188,64,Male,72483.0,Rural,46.4,2,Sedan,0,2,Yes,2.0,Yes,Low,No
EV00189,41,Male,58052.0,Rural,55.5,3,SUV,1,1,Yes,4.0,No,Low,No
EV00190,63,Female,36242.0,Urban,46.4,2,SUV,3,15,Yes,3.0,Yes,Low,No
EV00191,64,Other,92760.0,Suburban,28.9,1,Sedan,1,9,Yes,2.0,No,Low,No
EV00192,64,Female,30000.0,Suburban,53.4,1,Sedan,5,2,Yes,2.0,No,Low,No
EV00193,60,Male,76110.0,Rural,45.4,2,Truck,1,1,Yes,4.0,No,Low,No
EV00194,50,Female,59336.0,Rural,22.7,1,Sedan,2,2,Yes,3.0,Yes,Low,No
EV00195,56,Male,72047.0,Urban,75.0,2,Sedan,10,4,No,2.0,No,Medium,No
EV00196,36,Female,123501.0,Urban,33.7,2,Hatchback,9,15,No,1.0,No,Low,No
EV00197,33,Male,44583.0,Suburban,45.0,3,Sedan,3,6,Yes,2.0,Yes,Low,Yes
EV00198,36,Male,73155.0,Suburban,39.6,1,Sedan,7,1,Yes,5.0,Yes,Low,No
EV00199,37,Male,40754.0,Urban,5.0,1,Sedan,6,8,Yes,1.0,Yes,Low,No
EV00200,40,Female,122777.0,Urban,72.6,1,SUV,5,10,Yes,4.0,No,Low,No
EV00201,47,Male,120429.0,Urban,19.6,1,SUV,2,3,Yes,4.0,No,Low,No
EV00202,62,Female,126487.0,Suburban,26.7,1,SUV,2,5,Yes,2.0,No,Low,No
EV00203,27,Male,137573.0,Suburban,85.4,2,SUV,7,1,Yes,4.0,No,Low,No
EV00204,63,Male,140561.0,Urban,57.5,2,Sedan,8,19,No,3.0,Yes,Low,Yes
EV00205,67,Male,112536.0,Suburban,24.6,2,Sedan,4,3,No,5.0,Yes,Low,Yes
EV00206,26,Female,119807.0,Suburban,48.4,2,Sedan,5,3,Yes,3.0,Yes,Low,No
EV00207,59,Female,52740.0,Suburban,10.2,2,Sedan,7,5,Yes,2.0,No,Low,No
EV00208,62,Male,66471.0,Urban,73.9,2,SUV,12,7,No,5.0,No,Medium,No
EV00209,60,Female,134700.0,Urban,37.2,2,Sedan,12,18,No,2.0,Yes,Low,Yes
EV00210,67,Male,131660.0,Rural,94.6,1,Sedan,0,2,Yes,3.0,No,Low,Yes
EV00211,62,Female,99628.0,Suburban,40.3,2,Sedan,6,4,Yes,5.0,Yes,Low,Yes
EV00212,69,Male,57622.0,Urban,50.7,1,SUV,12,3,No,1.0,No,Medium,No
EV00213,69,Female,102455.0,Suburban,37.9,1,SUV,1,6,Yes,2.0,Yes,Low,No
EV00214,56,Female,95334.0,Urban,5.0,1,Truck,11,17,Yes,5.0,Yes,Low,Yes
EV00215,40,Male,202395.0,Suburban,40.7,2,Hatchback,0,9,Yes,2.0,No,Low,No
EV00216,46,Male,30000.0,Urban,53.2,2,Hatchback,4,8,Yes,4.0,No,Low,No
EV00217,28,Male,96964.0,Urban,52.7,1,Hatchback,14,15,No,2.0,Yes,Low,No
EV00218,34,Male,59286.0,Urban,5.0,1,Hatchback,5,6,No,4.0,No,Medium,No
EV00219,54,Female,87726.0,Urban,42.9,2,Sedan,9,4,Yes,5.0,No,Low,Yes
EV00220,55,Female,30000.0,Suburban,19.8,2,Hatchback,0,9,Yes,5.0,Yes,Low,Yes
EV00221,60,Male,96891.0,Suburban,14.4,4,Truck,1,6,Yes,5.0,Yes,Low,No
EV00222,65,Female,87712.0,Urban,5.0,2,Truck,12,17,Yes,2.0,Yes,Low,No
EV00223,49,Female,79769.0,Urban,30.3,2,Sedan,12,18,Yes,3.0,Yes,Low,No
EV00224,55,Male,95679.0,Urban,5.0,1,Truck,7,3,Yes,2.0,No,Low,No
EV00225,64,Female,134501.0,Urban,48.9,1,Sedan,13,19,Yes,4.0,No,Low,No
EV00226,47,Female,91775.0,Rural,32.1,1,Hatchback,2,3,Yes,2.0,Yes,Low,No
EV00227,42,Male,107212.0,Suburban,72.4,2,SUV,5,3,No,3.0,No,Medium,No
EV00228,29,Male,73985.0,Urban,32.3,1,SUV,10,12,No,4.0,Yes,Low,Yes
EV00229,42,Male,66977.0,Urban,5.0,1,Hatchback,2,10,No,4.0,Yes,Low,No
EV00230,43,Other,155798.0,Urban,48.2,3,SUV,8,13,No,2.0,Yes,Low,No
EV00231,44,Female,93100.0,Rural,82.9,1,Sedan,0,3,Yes,2.0,Yes,Low,No
EV00232,43,Female,133234.0,Urban,5.0,2,SUV,13,8,Yes,3.0,No,Low,No
EV00233,32,Female,94902.0,Urban,50.4,1,Sedan,12,13,No,3.0,No,Medium,No
EV00234,28,Male,39901.0,Suburban,78.8,2,Truck,1,4,Yes,3.0,No,Low,No
EV00235,59,Female,55542.0,Suburban,13.1,1,Hatchback,5,9,Yes,2.0,Yes,Low,No
EV00236,37,Female,61690.0,Urban,60.3,2,SUV,2,12,No,2.0,Yes,Medium,No
EV00237,55,Male,77274.0,Urban,41.2,2,Sedan,8,16,No,4.0,No,Medium,No
EV00238,45,Female,115755.0,Urban,33.1,1,SUV,11,17,Yes,5.0,Yes,Low,Yes
EV00239,30,Male,83367.0,Urban,65.1,3,Sedan,5,3,No,2.0,Yes,Medium,No
EV00240,34,Female,109775.0,Urban,39.6,1,SUV,9,18,No,3.0,No,Low,No
EV00241,59,Male,164179.0,Urban,65.1,2,SUV,4,11,No,2.0,Yes,Medium,No
EV00242,30,Female,57624.0,Urban,66.5,1,SUV,13,12,No,2.0,Yes,Medium,No
EV00243,50,Male,105601.0,Suburban,56.8,4,Sedan,5,5,Yes,5.0,Yes,Low,Yes
EV00244,39,Female,104074.0,Urban,34.0,2,SUV,5,17,Yes,1.0,No,Low,No
EV00245,53,Male,75723.0,Urban,16.5,2,Hatchback,11,16,No,5.0,Yes,Low,Yes
EV00246,35,Male,30000.0,Urban,43.7,2,Sedan,14,16,Yes,5.0,Yes,Low,No
EV00247,36,Male,121824.0,Urban,55.3,2,Truck,8,13,No,1.0,No,Medium,No
EV00248,58,Female,30000.0,Suburban,99.0,1,SUV,1,3,Yes,4.0,Yes,Low,No
EV00249,34,Male,69465.0,Urban,6.0,1,Hatchback,10,10,No,4.0,Yes,Low,Yes
EV00250,68,Female,64020.0,Urban,53.3,1,Sedan,14,15,Yes,3.0,Yes,Low,No
EV00251,45,Male,66434.0,Urban,96.0,3,Hatchback,2,3,No,1.0,No,Medium,No
EV00252,43,Male,102231.0,Suburban,75.5,2,Sedan,2,5,Yes,3.0,No,Medium,No
EV00253,55,Male,89729.0,Rural,18.4,2,Sedan,0,3,Yes,2.0,Yes,Low,No
EV00254,28,Male,30000.0,Urban,67.0,2,Truck,8,9,No,4.0,No,Medium,No
EV00255,54,Female,30000.0,Urban,25.2,3,Sedan,6,16,No,4.0,No,Low,No
EV00256,52,Female,,Urban,28.3,1,SUV,6,18,No,4.0,Yes,Low,No
EV00257,42,Female,53122.0,Suburban,18.9,1,Sedan,3,2,Yes,5.0,No,Low,No
EV00258,32,Female,88201.0,Suburban,61.8,3,SUV,7,3,Yes,5.0,Yes,Low,Yes
EV00259,50,Female,112540.0,Rural,69.1,2,SUV,1,1,Yes,4.0,No,Low,No
EV00260,55,Female,47030.0,Urban,25.0,1,Truck,2,3,Yes,,Yes,Low,Yes
EV00261,63,Female,128429.0,Urban,85.4,1,Sedan,8,19,No,1.0,No,Low,No
EV00262,46,Female,80353.0,Urban,51.5,1,Sedan,14,4,Yes,3.0,Yes,Low,No
EV00263,54,Male,30000.0,Suburban,5.0,1,Sedan,6,1,Yes,1.0,No,Low,No
EV00264,31,Female,40256.0,Urban,76.1,1,Hatchback,13,9,Yes,3.0,No,Low,No
EV00265,31,Female,87678.0,Urban,42.2,3,SUV,6,6,No,2.0,Yes,Low,No
EV00266,36,Female,76258.0,Suburban,5.0,2,Sedan,7,7,No,4.0,Yes,Low,No
EV00267,58,Male,63571.0,Urban,66.0,2,Sedan,13,14,Yes,3.0,No,Low,No
EV00268,69,Male,102883.0,Suburban,92.1,3,SUV,5,8,Yes,5.0,Yes,Low,Yes
EV00269,59,Male,73232.0,Suburban,33.0,1,SUV,3,1,Yes,1.0,Yes,Low,No
EV00270,64,Male,67598.0,Urban,35.2,1,Sedan,14,19,No,1.0,No,Low,No
EV00271,57,Male,64221.0,Urban,41.5,3,Sedan,7,3,No,4.0,Yes,Low,No
EV00272,48,Male,71090.0,Suburban,25.8,3,Sedan,2,5,Yes,4.0,Yes,Low,Yes
EV00273,39,Female,103376.0,Urban,53.8,3,SUV,2,8,Yes,3.0,No,Low,No
EV00274,46,Female,68476.0,Suburban,67.3,4,Truck,1,9,Yes,2.0,No,Low,No
